task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1179	e2/cb4822	316038	predictSeurat (221)	CACHED	0	2025-01-31 20:14:32.949	2m 35s	2m 30s	-	-	-	-	-
1176	78/337652	315475	rfPredict (257)	CACHED	0	2025-01-31 18:01:17.880	1m 5s	60s	-	-	-	-	-
960	7d/00e99d	316994	classifyAllSeurat (316)	CACHED	0	2025-02-01 00:51:18.316	1m 5s	1m	-	-	-	-	-
1182	38/04ff52	316005	predictSeurat (177)	CACHED	0	2025-01-31 19:59:22.928	3m 45s	3m 40s	-	-	-	-	-
1183	7c/2aad1c	316132	predictSeurat (309)	CACHED	0	2025-01-31 21:01:33.003	3m 20s	3m 15s	-	-	-	-	-
1186	df/e51c85	315953	predictSeurat (133)	CACHED	0	2025-01-31 19:35:07.894	3m 35s	3m 30s	-	-	-	-	-
1184	20/16eebd	316074	predictSeurat (265)	CACHED	0	2025-01-31 20:32:37.997	3m 5s	3m	-	-	-	-	-
1188	a2/75658b	316147	predictSeurat (397)	CACHED	0	2025-01-31 21:08:33.029	4m 35s	4m 30s	-	-	-	-	-
1181	b6/d2f997	316180	predictSeurat (353)	CACHED	0	2025-01-31 21:24:33.043	3m 5s	3m	-	-	-	-	-
1174	63/ae72db	315431	rfPredict (213)	CACHED	0	2025-01-31 17:56:57.793	1m 5s	1m	-	-	-	-	-
1177	68/12ba8c	315548	rfPredict (301)	CACHED	0	2025-01-31 18:06:42.788	1m 5s	60s	-	-	-	-	-
1219	8c/100a5d	315868	predictSeurat (77)	CACHED	0	2025-01-31 18:54:07.828	4m	3m 55s	-	-	-	-	-
1192	95/0e97a4	315892	predictSeurat (89)	CACHED	0	2025-01-31 19:05:52.851	3m 45s	3m 40s	-	-	-	-	-
1202	b3/b10cdd	316131	predictSeurat (297)	CACHED	0	2025-01-31 21:00:28.004	3m 40s	3m 35s	-	-	-	-	-
1200	92/cfaefc	316145	predictSeurat (341)	CACHED	0	2025-01-31 21:07:48.022	4m 45s	4m 40s	-	-	-	-	-
1190	82/11625a	315811	predictSeurat (45)	CACHED	0	2025-01-31 18:26:27.786	3m 35s	3m 30s	-	-	-	-	-
1194	1f/c4c52f	316049	predictSeurat (253)	CACHED	0	2025-01-31 20:20:12.953	4m 15s	4m 10s	-	-	-	-	-
1197	e2/49b665	316140	predictSeurat (385)	CACHED	0	2025-01-31 21:05:58.018	4m 40s	4m 35s	-	-	-	-	-
1228	5a/aac735	315926	predictSeurat (121)	CACHED	0	2025-01-31 19:21:37.870	4m 30s	4m 25s	-	-	-	-	-
